lambda_factor,service_factor,s,CT_mean,SLA_mean,rho_mean
0.8,0.8,1,339.25634813262366,0.0037325678432984346,0.999
0.8,0.8,2,165.2641628857707,0.7086023448936853,0.9308447704395565
0.8,0.8,3,170.43949816593664,0.9877411980172124,0.6259166290201287
0.8,0.8,4,215.3778567844343,0.9970991592740258,0.4833870344283676
0.8,0.9,1,317.8518187507902,0.0037325678432984346,0.999
0.8,0.9,2,134.17761575443114,0.8346023448936855,0.8258447704395564
0.8,0.9,3,165.90177614749922,0.9877411980172124,0.5559166290201287
0.8,0.9,4,210.64698380838604,0.9970991592740258,0.4308870344283677
0.8,1.0,1,299.02206570447123,0.012263215547559282,0.999
0.8,1.0,2,123.85231787987752,0.9354023448936856,0.7418447704395563
0.8,1.0,3,162.2715985327493,0.9877411980172124,0.4999166290201287
0.8,1.0,4,206.86228542754742,0.9970991592740258,0.3888870344283676
0.8,1.1,1,254.07507522945048,0.16694698085484466,0.999
0.8,1.1,2,116.4419662138055,0.9887260258805772,0.6731174977122836
0.8,1.1,3,159.30145321159029,0.9877411980172124,0.4540984472019467
0.8,1.1,4,203.7657140250431,0.9970991592740258,0.3545233980647312
0.8,1.2,1,214.90896829390493,0.30440152630939016,0.999
0.8,1.2,2,113.93846902932171,0.9887260258805772,0.6158447704395564
0.8,1.2,3,156.8263321106244,0.9877411980172124,0.4159166290201286
0.8,1.2,4,201.18523785628952,0.9970991592740258,0.32588703442836764
0.9,0.8,1,377.34826109395016,0.0037325678432984346,0.999
0.9,0.8,2,211.74474218920494,0.5668523448936855,0.999
0.9,0.8,3,176.34929418591392,0.9814411980172123,0.7046666290201287
0.9,0.8,4,220.76909949106502,0.9970991592740258,0.5424495344283675
0.9,0.9,1,350.94411723606737,0.0037325678432984346,0.999
0.9,0.9,2,167.7551025318634,0.7086023448936856,0.9308447704395564
0.9,0.9,3,170.47369983467883,0.9877411980172124,0.6259166290201287
0.9,0.9,4,215.43919954761336,0.9970991592740258,0.48338703442836756
0.9,1.0,1,329.8208021497611,0.0037325678432984346,0.999
0.9,1.0,2,137.66665460861185,0.8220023448936853,0.8363447704395565
0.9,1.0,3,166.38632985121095,0.9877411980172124,0.5629166290201286
0.9,1.0,4,211.17527959285204,0.9970991592740258,0.4361370344283676
0.9,1.1,1,312.53808980641963,0.0037325678432984346,0.999
0.9,1.1,2,126.72700473628556,0.9147841630755037,0.7590265886213745
0.9,1.1,3,163.0421180465554,0.9877411980172124,0.511371174474674
0.9,1.1,4,207.68661781168367,0.9970991592740258,0.3974779435192767
0.9,1.2,1,275.80203782708344,0.11540152630939009,0.999
0.9,1.2,2,118.19629219591748,0.9825354609987184,0.6945947704395563
0.9,1.2,3,160.2552748760091,0.9877411980172124,0.46841662902012854
0.9,1.2,4,204.77939966071,0.9970991592740258,0.3652620344283676
1.0,0.8,1,420.47411172000886,0.0037325678432984346,0.999
1.0,0.8,2,260.48751657619744,0.42510234489368537,0.999
1.0,0.8,3,189.20007487149024,0.8914370855118372,0.7834166290201285
1.0,0.8,4,226.0019260727218,0.9970991592740258,0.6015120344283675
1.0,0.9,1,388.4977533443374,0.0037325678432984346,0.999
1.0,0.9,2,210.31499755860105,0.5826023448936855,0.999
1.0,0.9,3,175.00958085446877,0.9877411980172124,0.6959166290201286
1.0,0.9,4,220.09060095353047,0.9970991592740258,0.5358870344283676
1.0,1.0,1,362.9166666438003,0.0037325678432984346,0.999
1.0,1.0,2,170.17698234452396,0.7086023448936856,0.9308447704395564
1.0,1.0,3,170.46862276902186,0.9877411980172124,0.6259166290201287
1.0,1.0,4,215.36154085817742,0.9970991592740258,0.48338703442836756
1.0,1.1,1,341.9866866160881,0.0037325678432984346,0.999
1.0,1.1,2,141.20296097199162,0.8116932539845948,0.8449356795304652
1.0,1.1,3,166.75329342638352,0.9877411980172124,0.5686439017474012
1.0,1.1,4,211.4923098710704,0.9970991592740258,0.4404324889738221
1.0,1.2,1,324.5450365929947,0.0037325678432984346,0.999
1.0,1.2,2,129.49042850214545,0.8976023448936854,0.7733447704395564
1.0,1.2,3,163.65718564085154,0.9877411980172124,0.5209166290201286
1.0,1.2,4,208.26795071514783,0.9970991592740258,0.40463703442836757
1.1,0.8,1,467.9275767324801,0.0037325678432984346,0.999
1.1,0.8,2,311.6550456921847,0.2833523448936853,0.999
1.1,0.8,3,205.97645989627867,0.7969370855118372,0.8621666290201286
1.1,0.8,4,231.43892199859687,0.9970991592740258,0.6605745344283676
1.1,0.9,1,429.9114314306322,0.0037325678432984346,0.999
1.1,0.9,2,255.02366237278375,0.45660234489368523,0.999
1.1,0.9,3,187.03385267837186,0.9124370855118371,0.7659166290201287
1.1,0.9,4,224.923486220975,0.9970991592740258,0.5883870344283677
1.1,1.0,1,399.49851518915375,0.0037325678432984346,0.999
1.1,1.0,2,209.71855571726297,0.5952023448936854,0.999
1.1,1.0,3,174.54823253089972,0.9877411980172124,0.6889166290201287
1.1,1.0,4,219.71113759887749,0.9970991592740258,0.5306370344283675
1.1,1.1,1,374.61522008248966,0.0037325678432984346,0.999
